Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
Aerial Powers,DAL,F,183,71,21.20099137,US,"January 17, 1994",23,Michigan State,2,8,173,6,22,28,12,3,6,12,93,0,0
Alana Beard,LA,G/F,185,73,21.32943755,US,"May 14, 1982",35,Duke,12,30,947,19,82,101,72,63,13,40,217,0,0
Alex Bentley,CON,G,170,69,23.87543253,US,"October 27, 1990",26,Penn State,4,26,617,4,36,40,78,22,3,24,218,0,0
Alex Montgomery,SAN,G/F,185,84,24.54346238,US,"December 11, 1988",28,Georgia Tech,6,31,721,35,134,169,65,20,10,38,188,2,0
Alexis Jones,MIN,G,175,78,25.46938776,US,"August 5, 1994",23,Baylor,R,24,137,3,9,12,12,7,0,14,50,0,0
Alexis Peterson,SEA,G,170,63,21.79930796,US,"June 20, 1995",22,Syracuse,R,14,90,3,13,16,11,5,0,11,26,0,0
Alexis Prince,PHO,G,188,81,22.91760978,US,"February 5, 1994",23,Baylor,R,16,112,1,14,15,5,4,3,3,24,0,0
Allie Quigley,CHI,G,178,64,20.19946976,US,"June 20, 1986",31,DePaul,8,26,847,9,83,92,95,20,13,59,442,0,0
Allisha Gray,DAL,G,185,76,22.20598977,US,"October 20, 1992",24,South Carolina,2,30,834,52,75,127,40,47,19,37,395,0,0
Allison Hightower,WAS,G,178,77,24.30248706,US,"June 4, 1988",29,LSU,5,7,103,3,7,10,10,5,0,2,36,0,0
Alysha Clark,SEA,F,180,76,23.45679012,US,"July 7, 1987",30,Middle Tennessee,6,30,843,29,97,126,50,22,4,32,244,0,0
Alyssa Thomas,CON,F,188,84,23.76641014,US,"December 4, 1992",24,Maryland,3,28,833,34,158,192,136,48,11,87,399,4,0
Amanda Zahui B.,NY,C,196,113,29.41482716,SE,"August 9, 1993",24,Minnesota,3,25,133,5,18,23,7,4,5,12,51,0,0
Amber Harris,CHI,F,196,88,22.90712203,US,"January 16, 1988",29,Xavier,3,22,146,12,28,40,5,3,9,6,41,0,0
Aneika Henry,ATL,F/C,193,87,23.35633171,JM,"February 13, 1986",31,Florida,6,4,22,0,4,4,1,2,0,3,8,0,0
Angel Robinson,PHO,F/C,198,88,22.44668911,US,"August 30, 1995",21,Arizona State,1,15,237,16,42,58,8,1,11,16,58,0,0
Asia Taylor,WAS,F,185,76,22.20598977,US,"August 22, 1991",26,Louisville,3,20,128,16,21,37,9,5,2,10,31,0,0
Bashaara Graves,CHI,F,188,91,25.74694432,US,"March 17, 1994",23,Tennessee,1,5,59,4,13,17,3,0,1,3,19,0,0
Breanna Lewis,DAL,C,196,93,24.20866306,US,"June 22, 1994",23,Kansas State,R,12,50,2,7,9,2,0,0,7,7,0,0
Breanna Stewart,SEA,F/C,193,77,20.67169588,US,"August 27, 1994",22,Connecticut,2,29,952,43,206,249,78,29,47,68,584,8,0
Bria Hartley,NY,G,173,66,22.05219018,US,"September 30, 1992",24,Connecticut,4,29,598,7,50,57,58,15,5,44,217,0,0
Bria Holmes,ATL,G,185,77,22.49817385,US,"April 19, 1994",23,West Virginia,R,28,655,29,56,85,52,23,7,31,235,0,0
Briann January,IND,G,173,65,21.71806609,US,"November 1, 1987",29,Arizona State,9,25,657,12,25,37,98,23,4,53,238,0,0
Brionna Jones,CON,F,191,104,28.50799046,US,"December 18, 1995",21,Maryland,R,19,112,11,14,25,2,7,1,7,44,0,0
Brittany Boyd,NY,G,175,71,23.18367347,US,"November 6, 1993",23,UC Berkeley,3,2,32,3,5,8,5,3,0,2,26,0,0
Brittney Griner,PHO,C,206,93,21.91535489,US,"October 18, 1990",26,Baylor,5,22,682,43,129,172,39,13,54,52,461,6,0
Brittney Sykes,ATL,G,175,66,21.55102041,US,"July 2, 1994",23,Rutgers,10,30,734,25,94,119,59,18,17,49,397,1,0
Camille Little,PHO,F,188,82,23.20054323,US,"January 18, 1985",32,North Carolina,11,30,759,42,71,113,42,28,13,50,228,0,0
Candace Parker,LA,F/C,193,79,21.20862305,US,"April 19, 1986",31,Tennessee,10,29,889,37,205,242,127,43,53,80,494,10,1
Candice Dupree,IND,F,188,81,22.91760978,US,"February 25, 1984",33,Temple,12,29,911,31,124,155,47,28,12,42,435,2,0
Cappie Pondexter,CHI,G,175,73,23.83673469,US,"July 1, 1983",34,Rutgers,11,24,676,10,59,69,104,17,5,56,250,2,0
Carolyn Swords,SEA,C,198,95,24.2322212,US,"July 19, 1989",28,Boston College,6,26,218,10,29,39,9,5,4,22,54,0,0
Cayla George,PHO,C,193,87,23.35633171,AU,"April 20, 1987",30,Georgia,1,28,365,10,71,81,15,9,11,13,100,1,0
Chelsea Gray,LA,G,180,77,23.7654321,US,"August 10, 1992",25,Duke,3,30,996,19,80,99,132,29,7,61,456,1,0
Cheyenne Parker,CHI,F,193,86,23.08786813,US,"August 22, 1992",25,Middle Tennessee,2,23,286,31,47,78,13,8,15,21,87,0,0
Clarissa dos Santos,SAN,C,185,89,26.00438276,BR,"October 3, 1988",28,Brazil,4,7,52,3,7,10,7,1,1,5,17,0,0
Courtney Paris,DAL,C,193,113,30.33638487,US,"September 21, 1987",29,Oklahoma,7,16,217,28,34,62,5,6,8,18,70,0,0
Courtney Vandersloot,CHI,G,173,66,22.05219018,US,"August 2, 1989",28,Gonzaga,6,22,673,13,75,88,175,22,5,64,255,10,0
